BUSSTOP_NM	BUS_STOP_ID	GPS_LATI	GPS_LONG
송강마을아파트	44800	36.4376	127.386
봉산동기점	44490	36.4482	127.385
군인아파트종점	82210	36.4181	127.337
군인아파트노인정	82070	36.4159	127.336
자운상가	81680	36.4138	127.337
군인아파트	43730	36.4109	127.337
복지관	43720	36.4089	127.337
육군정보통신학교	46560	36.4015	127.34
국군대전병원	43670	36.4006	127.346
자운대네거리	43700	36.3951	127.349
신성동주민센터	42980	36.3889	127.347
성덕중학교	42950	36.3863	127.346
유성초네거리	42080	36.3614	127.336
유성시장	42010	36.3589	127.333
구암역	41880	36.3562	127.332
봉명네거리	41190	36.3555	127.335
온천1동주민센터	41220	36.3529	127.338
유성고등학교	41610	36.3509	127.336
유성구보훈회관	41580	36.3518	127.332
구암동	41520	36.3495	127.327
유성생명과학고	41500	36.3487	127.326
복용1통	82380	36.3431	127.318
복용3통	82400	36.3452	127.313
씨엔씨티에너지학하CES	82420	36.3445	127.308
미학아파트	82440	36.3419	127.303
학의뜰아파트	45800	36.3358	127.302
학하동종점	45810	36.3372	127.303
별밭공원	82590	36.3409	127.305
학하중앙로	82460	36.3406	127.308
자광사	82480	36.3384	127.313
학하초등학교	40450	36.3348	127.313
신생병원	40430	36.3315	127.312
계산동	40490	36.3258	127.311
밀머리네거리	40360	36.3242	127.312
대정동	40260	36.3197	127.314
용머리	40280	36.3165	127.315
드리움공원	45300	36.3155	127.32
드리움아파트	40330	36.3122	127.32
교촌동	82110	36.3114	127.317
교도소입구	40240	36.309	127.318
한승미메이드아파트	40130	36.3068	127.319
제이파크아파트	40090	36.304	127.319
진잠향교	40040	36.3033	127.317
진잠초등학교	45460	36.3007	127.315
원내네거리	40120	36.2998	127.319
샘물타운	82130	36.2988	127.32
진잠타운아파트	40160	36.2973	127.32
대전도시과학고등학교	45620	36.2961	127.319
한아름아파트	45610	36.2959	127.32
진잠타운아파트	40170	36.2972	127.32
샘물타운	80040	36.2988	127.32
원내네거리	40110	36.2997	127.318
진잠초등학교	40010	36.301	127.315
진잠향교	40050	36.3032	127.317
제이파크아파트	40140	36.3037	127.319
한승미메이드아파트	40150	36.3063	127.32
교도소입구	40250	36.3097	127.318
교촌3통	40300	36.3119	127.319
드리움아파트	40340	36.3136	127.32
드리움공원	45310	36.3154	127.32
화물터미널	40320	36.3163	127.319
대정2통	40290	36.3156	127.315
대정동	40270	36.3195	127.314
밀머리네거리	40370	36.3241	127.312
계산동	40500	36.3258	127.312
신생병원	40440	36.3316	127.312
학하초등학교	40460	36.3348	127.313
학하동	40480	36.3374	127.315
자광사	82490	36.3386	127.313
학하중앙로	82470	36.3409	127.308
별밭공원	45950	36.3406	127.305
미학아파트	82450	36.3417	127.303
씨엔씨티에너지학하CES	82430	36.3442	127.308
복용3통	82410	36.3447	127.313
복용1통	82390	36.3429	127.318
오토월드	46240	36.3426	127.321
유성생명과학고	41510	36.3477	127.326
구암동	41530	36.3494	127.327
유성구보훈회관	41590	36.3513	127.333
유성고등학교	41600	36.3506	127.336
유성온천역	82160	36.3537	127.339
봉명네거리	41180	36.3557	127.335
구암역	82170	36.3563	127.332
유성시장	42020	36.3587	127.333
한울아파트후문	42960	36.3851	127.346
신성동주민센터	42990	36.3892	127.347
자운대네거리	43710	36.3944	127.35
국군대전병원	82600	36.4005	127.346
육군정보통신학교	82610	36.4017	127.34
복지관	82180	36.4083	127.337
군인아파트	82190	36.4106	127.337
자운상가	82200	36.4138	127.337
군인아파트	82070	36.4167	127.338
협진운수	44480	36.4455	127.384
대광로제비앙아파트	46770	36.4427	127.384
구즉동주민센터	82510	36.4403	127.384
구즉초등학교	82530	36.44	127.382
휴먼시아 1단지	82550	36.438	127.382
테크노밸리7단지	82220	36.425	127.384
테크노밸리1단지	82230	36.4212	127.381
북대전IC네거리	43540	36.4178	127.378
전자디자인고	43530	36.4124	127.378
에이팩	46260	36.404	127.376
한국천문연구원	46020	36.4	127.374
국가정보자원관리원	43500	36.3969	127.373
공동관리아파트	43150	36.3824	127.378
