iter	Passed	Remaining
415	2539	3565
416	2545	3558
417	2552	3553
418	2558	3547
419	2563	3539
420	2569	3533
421	2574	3526
422	2579	3519
423	2585	3511
424	2590	3505
425	2596	3497
426	2600	3490
427	2607	3484
428	2614	3479
429	2619	3472
430	2624	3464
431	2630	3458
432	2636	3452
433	2641	3445
434	2647	3438
435	2652	3430
436	2657	3424
437	2663	3417
438	2668	3410
439	2674	3403
440	2679	3396
441	2684	3389
442	2690	3382
443	2696	3376
444	2701	3369
445	2707	3362
446	2713	3356
447	2718	3350
448	2723	3342
449	2729	3335
450	2734	3329
451	2740	3322
452	2745	3315
453	2751	3308
454	2756	3302
455	2761	3294
456	2767	3288
457	2773	3282
458	2778	3275
459	2784	3268
460	2789	3261
461	2795	3254
462	2799	3247
463	2805	3240
464	2810	3233
465	2815	3226
466	2821	3220
467	2827	3214
468	2833	3207
469	2838	3200
470	2844	3195
471	2850	3188
472	2855	3181
473	2860	3174
474	2866	3167
475	2871	3160
476	2876	3153
477	2881	3147
478	2887	3140
479	2893	3134
480	2898	3127
481	2904	3121
482	2911	3116
483	2917	3110
484	2922	3103
485	2928	3097
486	2934	3091
487	2940	3085
488	2945	3078
489	2951	3072
490	2957	3066
491	2963	3059
492	2968	3053
493	2974	3046
494	2979	3040
495	2986	3034
496	2991	3028
497	2997	3021
498	3003	3015
499	3008	3008
500	3014	3002
501	3021	2997
502	3028	2991
503	3033	2985
504	3039	2978
505	3044	2972
506	3049	2965
507	3056	2960
508	3061	2953
509	3066	2946
510	3071	2939
511	3076	2932
512	3082	2925
513	3086	2918
514	3091	2911
515	3097	2905
516	3102	2898
517	3108	2892
518	3113	2885
519	3119	2879
520	3124	2872
521	3129	2865
522	3134	2859
523	3139	2852
524	3145	2845
525	3150	2838
526	3155	2831
527	3160	2825
528	3165	2818
529	3171	2812
530	3177	2806
531	3182	2800
532	3188	2793
533	3193	2786
534	3199	2780
535	3204	2774
536	3210	2767
537	3214	2760
538	3220	2754
539	3226	2748
540	3232	2742
541	3238	2736
542	3243	2729
543	3248	2722
544	3253	2716
545	3258	2709
546	3264	2703
547	3269	2696
548	3274	2690
549	3280	2683
550	3284	2676
551	3290	2670
552	3295	2663
553	3300	2657
554	3305	2650
555	3310	2643
556	3315	2637
557	3320	2630
558	3325	2623
559	3330	2616
560	3336	2610
561	3341	2603
562	3345	2597
563	3350	2590
564	3355	2583
565	3361	2577
566	3365	2570
567	3370	2563
568	3376	2557
569	3381	2550
570	3387	2544
571	3392	2538
572	3397	2531
573	3402	2525
574	3407	2518
575	3412	2512
576	3418	2505
577	3422	2498
578	3427	2492
579	3433	2485
580	3437	2479
581	3443	2472
582	3448	2466
583	3453	2459
584	3458	2453
585	3464	2447
586	3469	2441
587	3475	2435
588	3481	2429
589	3486	2422
590	3492	2416
591	3498	2410
592	3503	2404
593	3508	2397
594	3513	2391
595	3518	2384
596	3523	2378
597	3528	2372
598	3534	2365
599	3538	2359
600	3543	2352
601	3548	2346
602	3554	2339
603	3559	2333
604	3564	2327
605	3569	2320
606	3574	2314
607	3580	2308
608	3586	2302
609	3592	2296
610	3599	2291
611	3605	2285
612	3610	2279
613	3615	2272
614	3620	2266
615	3626	2260
616	3631	2254
617	3636	2248
618	3642	2241
619	3646	2235
620	3652	2229
621	3657	2222
622	3663	2216
623	3668	2210
624	3673	2203
625	3678	2197
626	3683	2191
627	3688	2184
628	3693	2178
629	3699	2172
630	3703	2166
631	3708	2159
632	3714	2153
633	3719	2147
634	3724	2140
635	3730	2134
636	3735	2128
637	3740	2122
638	3745	2115
639	3750	2109
640	3755	2103
641	3761	2097
642	3766	2091
643	3771	2085
644	3776	2078
645	3781	2072
646	3786	2066
647	3791	2059
648	3796	2053
649	3801	2046
650	3806	2040
651	3810	2034
652	3815	2027
653	3821	2021
654	3826	2015
655	3831	2009
656	3836	2002
657	3841	1996
658	3847	1990
659	3852	1984
660	3858	1978
661	3863	1972
662	3869	1966
663	3874	1960
664	3879	1954
665	3884	1948
666	3890	1942
667	3896	1936
668	3901	1930
669	3906	1924
670	3911	1917
671	3916	1911
672	3921	1905
673	3927	1899
674	3932	1893
675	3937	1887
676	3942	1880
677	3947	1874
678	3952	1868
679	3957	1862
680	3963	1856
681	3968	1850
682	3973	1844
683	3978	1837
684	3983	1831
685	3989	1825
686	3994	1819
687	3998	1813
688	4003	1807
689	4008	1800
690	4014	1795
691	4018	1788
692	4024	1782
693	4029	1776
694	4034	1770
695	4038	1764
696	4043	1758
697	4049	1752
698	4054	1745
699	4059	1739
700	4064	1733
701	4069	1727
702	4074	1721
703	4080	1715
704	4086	1709
705	4091	1703
706	4097	1698
707	4102	1692
708	4108	1686
709	4113	1679
710	4118	1673
711	4122	1667
712	4128	1661
713	4133	1655
714	4138	1649
715	4143	1643
716	4149	1637
717	4154	1631
718	4158	1625
719	4164	1619
720	4169	1613
721	4174	1607
722	4179	1601
723	4184	1595
724	4189	1589
725	4194	1583
726	4199	1576
727	4204	1570
728	4209	1564
729	4214	1558
730	4219	1552
731	4224	1546
732	4228	1540
733	4234	1534
734	4239	1528
735	4244	1522
736	4249	1516
737	4255	1510
738	4260	1504
739	4265	1498
740	4271	1492
741	4276	1486
