iter	RMSE
0	466.6358006
1	438.4337434
2	412.7229979
3	389.7149411
4	367.7228154
5	347.3316781
6	328.6130063
7	311.5661627
8	296.782822
9	282.7556391
10	270.4655389
11	258.3953859
12	247.7811915
13	237.4462939
14	228.060671
15	219.8776474
16	212.7158893
17	206.1065679
18	199.5977821
19	193.4817078
20	188.4382253
21	183.2578467
22	178.6525956
23	174.6894322
24	170.8093047
25	167.4904645
26	164.1054194
27	160.9226705
28	158.3830764
29	155.7033806
30	153.586755
31	151.67715
32	149.6684959
33	147.9208944
34	146.1336558
35	144.3848729
36	142.8567762
37	141.7497
38	140.330335
39	138.8967783
40	137.5063143
41	136.103945
42	134.9620487
43	134.0555718
44	132.8865571
45	131.6877118
46	130.6642243
47	129.6888413
48	128.7381176
49	127.8410168
50	126.9598553
51	126.0106406
52	125.1507583
53	124.3582335
54	123.7928544
55	123.1060513
56	122.4904145
57	121.6441602
58	121.0865142
59	120.4004209
60	119.8571641
61	119.2252691
62	118.8648963
63	118.2584256
64	117.5955735
65	116.8793747
66	116.2735096
67	115.732732
68	115.2835436
69	114.8541899
70	114.5669102
71	114.081161
72	113.6371157
73	113.0141759
74	112.6123423
75	112.2176456
76	111.9157175
77	111.6454334
78	111.217371
79	110.7926335
80	110.369873
81	110.064224
82	109.756702
83	109.4146966
84	109.1767846
85	108.7261837
86	108.3869743
87	108.0242989
88	107.6229596
89	107.3203053
90	106.9821116
91	106.6080265
92	106.408688
93	106.093156
94	105.7785958
95	105.4684518
96	105.2019941
97	104.8988561
98	104.7304706
99	104.5826735
100	104.2679444
101	103.9027398
102	103.6809176
103	103.4988009
104	103.2152308
105	102.9519853
106	102.7419962
107	102.3610003
108	102.0845367
109	101.838204
110	101.7341147
111	101.4540417
112	101.2808336
113	101.1114119
114	100.961986
115	100.6914898
116	100.5589784
117	100.4507962
118	100.2679819
119	100.0397912
120	99.88619212
121	99.75214479
122	99.63843824
123	99.50628889
124	99.32336569
125	99.16806473
126	99.03269556
127	98.79153103
128	98.61308452
129	98.50770371
130	98.2587608
131	97.98731769
132	97.854985
133	97.74163352
134	97.57421996
135	97.36606758
136	97.19858346
137	96.99784492
138	96.86426844
139	96.61848253
140	96.5054665
141	96.3628619
142	96.17905267
143	96.0415149
144	95.88970515
145	95.72389075
146	95.64916654
147	95.49403225
148	95.3744157
149	95.28270124
150	95.19553237
151	95.04942289
152	94.92204738
153	94.81642897
154	94.67653701
155	94.57711848
156	94.44972356
157	94.25694046
158	94.12673308
159	93.98300286
160	93.85114837
161	93.69937193
162	93.50733427
163	93.3817565
164	93.31922891
165	93.17916829
166	92.97767727
167	92.87674697
168	92.79612664
169	92.68124031
170	92.58667213
171	92.47810069
172	92.28205094
173	92.20426488
174	92.08540512
175	91.9725122
176	91.86471745
177	91.7839889
178	91.69760301
179	91.58508163
180	91.51376959
181	91.39747221
182	91.29897561
183	91.20274365
184	91.12547499
185	90.99274066
186	90.87906104
187	90.78901226
188	90.69053863
189	90.56468473
190	90.4431756
191	90.34546233
192	90.24867704
193	90.16488986
194	90.08391908
195	89.98659822
196	89.86468342
197	89.81609772
198	89.76044463
199	89.66867054
200	89.55576184
201	89.47145894
202	89.38862847
203	89.2854313
204	89.21790601
205	89.14199702
206	89.08636215
207	88.96965733
208	88.91768186
209	88.85437243
210	88.79879759
211	88.74465422
212	88.67296066
213	88.57578344
214	88.52604544
215	88.43678204
216	88.36452313
217	88.24486399
218	88.18092053
219	88.06397867
220	88.00179769
221	87.91910344
222	87.83056619
223	87.76624154
224	87.67686033
225	87.62397284
226	87.5642879
227	87.50389044
228	87.39549644
229	87.31299974
230	87.22704721
231	87.17168152
232	87.13908208
233	87.09306726
234	87.02130484
235	86.93914962
236	86.87686806
237	86.76156268
238	86.70189915
239	86.63366244
240	86.54120217
241	86.49951809
242	86.43445093
243	86.3877873
244	86.3322378
245	86.26576674
246	86.19576838
247	86.08150105
248	86.03935797
249	85.99243715
250	85.94348733
251	85.88183043
252	85.81562895
253	85.76073162
254	85.66094246
255	85.59417012
256	85.5223997
257	85.46348975
258	85.43232739
259	85.38698137
260	85.30180764
261	85.25484361
262	85.19387161
263	85.13852494
264	85.08207502
265	85.02592048
266	84.96890182
267	84.93254921
268	84.85716189
269	84.80210485
270	84.74980539
271	84.65755018
272	84.62122951
273	84.57337649
274	84.51083535
275	84.47709214
276	84.44439406
277	84.38162766
278	84.29496505
279	84.2515235
280	84.18215796
281	84.13851574
282	84.10382457
283	84.08546193
284	84.04097045
285	84.01653578
286	83.97553465
287	83.92107254
288	83.82442638
289	83.79693289
290	83.75874285
291	83.72663076
292	83.65175079
293	83.634712
294	83.56002289
295	83.52288748
296	83.49064708
297	83.44175786
298	83.40436216
299	83.34197709
300	83.30523606
301	83.24540176
302	83.20923304
303	83.1702271
304	83.13613983
305	83.08822555
306	83.03458441
307	82.97743225
308	82.93910258
309	82.91827121
310	82.88753483
311	82.86531135
312	82.82739915
313	82.77453135
314	82.73257421
315	82.69486759
316	82.6449611
317	82.6138609
318	82.58447814
319	82.53147853
320	82.50128158
321	82.4321158
322	82.40420873
323	82.35132609
324	82.27676036
325	82.2526942
326	82.2033959
327	82.15883187
328	82.12897976
329	82.09055638
330	82.07534236
331	82.05598893
332	82.04131161
333	81.98305222
334	81.92646735
335	81.89062759
336	81.85773352
337	81.82085544
338	81.78918047
339	81.74584166
340	81.73020824
341	81.69651434
342	81.65755986
343	81.60741685
344	81.57655807
345	81.56236667
346	81.51356563
347	81.46996295
348	81.44192241
349	81.40599662
350	81.39417485
351	81.35300983
352	81.31748245
353	81.28359823
354	81.22478723
355	81.19090355
356	81.16559708
357	81.13981782
358	81.08397985
359	81.04871921
360	81.00756717
361	80.97606763
362	80.92159417
363	80.88267054
364	80.85916293
365	80.83415582
366	80.80671195
367	80.78484501
368	80.74692319
369	80.7362479
370	80.70693655
371	80.6780145
372	80.64899826
373	80.62336215
374	80.58789412
375	80.55201521
376	80.52274965
377	80.51575912
378	80.48498363
379	80.44034791
380	80.40381106
381	80.39173381
382	80.36248831
383	80.3341659
384	80.31599893
385	80.28689782
386	80.23908485
387	80.21425224
388	80.18463774
389	80.16667986
390	80.1525925
391	80.12427507
392	80.0833238
393	80.0510829
394	80.0193452
395	79.99428269
396	79.96607133
397	79.94221589
398	79.92844062
399	79.88916515
400	79.85788936
401	79.83779004
402	79.81714751
403	79.79142085
404	79.7627436
405	79.75403265
406	79.73415136
407	79.71361227
408	79.69320389
409	79.66877458
410	79.64515123
411	79.61704912
412	79.593534
413	79.56995438
414	79.55797326
415	79.52624484
416	79.5089267
417	79.48464323
418	79.4620238
419	79.43512627
420	79.42101148
421	79.39916103
422	79.38094337
423	79.33651299
424	79.3147904
425	79.28659822
426	79.263214
427	79.24066102
428	79.21332173
429	79.19160404
430	79.18444323
431	79.16462672
432	79.13512777
433	79.1071182
434	79.07992608
435	79.05764192
436	79.02809954
437	79.01012256
438	78.98082276
439	78.96156959
440	78.94583337
441	78.92814819
442	78.90378173
443	78.8822832
444	78.86531784
445	78.83397453
446	78.80175642
447	78.77008531
448	78.74095083
449	78.72636005
450	78.70966339
451	78.68177584
452	78.6604216
453	78.63989109
454	78.62080838
455	78.60915253
456	78.57943589
457	78.55156443
458	78.52489148
459	78.50497412
460	78.47530981
461	78.44590506
462	78.43507922
463	78.40406391
464	78.38358954
465	78.37660632
466	78.35236237
467	78.3057386
468	78.28082952
469	78.27079202
470	78.25726567
471	78.23909175
472	78.21757745
473	78.19069336
474	78.17055511
475	78.16067677
476	78.14205578
477	78.12721608
478	78.10900944
479	78.09781284
480	78.08749048
481	78.07008996
482	78.04673417
483	78.02327015
484	78.0204328
485	77.99486352
486	77.97629391
487	77.94627522
488	77.928994
489	77.89706603
490	77.87370347
491	77.85452179
492	77.83749412
493	77.82299621
494	77.80580514
495	77.7856494
496	77.7544319
497	77.74079697
498	77.71092824
499	77.69000181
500	77.67886579
501	77.65414927
502	77.64211504
503	77.63266287
504	77.62110185
505	77.58642808
506	77.54646061
507	77.52828035
508	77.50885482
509	77.47571818
510	77.46563162
511	77.44325995
512	77.42856247
513	77.41123916
514	77.40384049
515	77.39159329
516	77.37255891
517	77.33827697
518	77.31493995
519	77.297992
520	77.27671133
521	77.25951152
522	77.24806816
523	77.24283921
524	77.22861206
525	77.20124786
526	77.1964708
527	77.16575555
528	77.1375049
529	77.11683683
530	77.09767666
531	77.08509842
532	77.060947
533	77.04817223
534	77.02630301
535	77.01036521
536	77.00162304
537	76.98658657
538	76.97591039
539	76.94647896
540	76.9245669
541	76.90584718
542	76.89585389
543	76.89348213
544	76.87377893
545	76.8596546
546	76.84421356
547	76.83749734
548	76.82521569
549	76.80719283
550	76.79523868
551	76.78203158
552	76.76910441
553	76.74969169
554	76.73830237
555	76.72641881
556	76.70653009
557	76.69061255
558	76.6858836
559	76.66794358
560	76.64616328
561	76.62491862
562	76.6228072
563	76.60975131
564	76.59420006
565	76.58264566
566	76.57468283
567	76.56053007
568	76.5454024
569	76.52411441
570	76.50812127
571	76.48915906
572	76.48083193
573	76.47033656
574	76.45433344
575	76.44406292
576	76.42163046
577	76.41750677
578	76.37600355
579	76.35026814
580	76.33049602
581	76.30474337
582	76.26801516
583	76.25396796
584	76.23822832
585	76.21698419
586	76.1969496
587	76.17193593
588	76.16145079
589	76.14565525
590	76.12387004
591	76.0929297
592	76.07681526
593	76.06828417
594	76.0537486
595	76.0362158
596	76.02609394
597	76.02043631
598	76.00077783
599	75.99077167
600	75.97578154
601	75.96876564
602	75.94886528
603	75.92414014
604	75.90841332
605	75.88899794
606	75.87621482
607	75.86624768
608	75.85388813
609	75.8380749
610	75.82940471
611	75.81688216
612	75.81216211
613	75.79811729
614	75.7874052
615	75.76376101
616	75.75214414
617	75.7272035
618	75.70183
619	75.69950871
620	75.68693371
621	75.67762968
622	75.66385959
623	75.65718754
624	75.65424518
625	75.6473211
626	75.63299374
627	75.62090939
628	75.61206966
629	75.60175647
630	75.59113076
631	75.58505718
632	75.55160654
633	75.54605153
634	75.53241482
635	75.51839454
636	75.50263274
637	75.4922846
638	75.4728562
639	75.46400589
640	75.45355873
641	75.44469593
642	75.41910061
643	75.40341366
644	75.39245556
645	75.38246931
646	75.37035364
647	75.35614921
648	75.34652522
649	75.3321076
650	75.32620846
651	75.3187003
652	75.31133862
653	75.29616371
654	75.27623493
655	75.27152078
656	75.25962158
657	75.24836472
658	75.23016629
659	75.21415141
660	75.19468986
661	75.18524197
662	75.17088625
663	75.16164334
664	75.15903119
665	75.14478594
666	75.13204369
667	75.11793365
668	75.1063495
669	75.10344065
670	75.09113093
671	75.08775284
672	75.07662356
673	75.06246941
674	75.05110024
675	75.03522435
676	75.0281541
677	75.01759632
678	75.00933506
679	74.97405218
680	74.95911292
681	74.950411
682	74.93521411
683	74.91610962
684	74.90518459
685	74.88677875
686	74.87112885
687	74.86296309
688	74.85014823
689	74.83989962
690	74.82200027
691	74.81926124
692	74.8074285
693	74.78516243
694	74.77595658
695	74.76565717
696	74.74559091
697	74.73975906
698	74.73008801
699	74.71877161
700	74.70476247
701	74.69839598
702	74.69122434
703	74.6788626
704	74.66432832
705	74.65432163
706	74.64473096
707	74.62878797
708	74.61728657
709	74.60174608
710	74.5898828
711	74.58495441
712	74.56943249
713	74.55263866
714	74.53271392
715	74.52142773
716	74.51110852
717	74.49966419
718	74.49201494
719	74.48981962
720	74.47353857
721	74.46118299
722	74.45470421
723	74.4489171
724	74.43905884
725	74.43069447
726	74.42630314
727	74.41447589
728	74.407232
729	74.38927753
730	74.38409049
731	74.3755385
732	74.36148999
733	74.35062932
734	74.33759173
735	74.31826012
736	74.30934723
737	74.30184133
738	74.29254501
739	74.27527473
740	74.26097078
741	74.24516958
742	74.22803417
743	74.21861565
744	74.20524091
745	74.20318506
746	74.18137545
747	74.17234476
748	74.16919726
749	74.15656759
750	74.1478575
751	74.13674818
752	74.12814016
753	74.12111193
754	74.10475305
755	74.09557876
756	74.07665316
757	74.07055039
758	74.06425221
759	74.05838831
760	74.0532092
761	74.05080008
762	74.03872578
763	74.02719914
764	74.00885729
765	73.99667745
766	73.99380788
767	73.98040408
768	73.96908686
769	73.95964264
770	73.94474607
771	73.93478412
772	73.927184
773	73.91050259
